Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Bovec,2025-04-01 12:30:00,10.4,-2.0,10.4,10.5,10.1,42,43,14.0,21.0,17.0,22.0,21.0,47.0,964.2,964.3,0.0,234,252
Bovec,2025-04-01 13:00:00,11.0,-1.4,10.8,11.1,10.4,42,42,17.0,15.0,45.0,20.0,19.0,44.0,964.1,964.2,0.0,338,321
Bovec,2025-04-01 13:30:00,11.3,-1.6,11.1,11.3,10.9,40,41,17.0,12.0,354.0,20.0,22.0,44.0,964.1,964.0,0.0,307,311
Bovec,2025-04-01 14:00:00,11.6,-1.4,11.5,11.7,11.3,40,41,23.0,20.0,17.0,19.0,22.0,47.0,963.9,964.0,0.0,369,394
Bovec,2025-04-01 14:30:00,11.6,-1.4,11.6,11.8,11.5,40,41,15.0,23.0,17.0,22.0,21.0,58.0,963.9,963.9,0.0,311,344
Bovec,2025-04-01 15:00:00,11.9,-0.8,11.8,12.0,11.6,41,42,13.0,22.0,349.0,20.0,21.0,51.0,963.7,963.7,0.0,378,342
Bovec,2025-04-01 15:30:00,12.2,-0.9,12.0,12.2,11.8,40,40,16.0,19.0,6.0,28.0,26.0,59.0,963.3,963.5,0.0,394,404
Bovec,2025-04-01 16:00:00,11.9,-1.1,12.0,12.3,11.8,40,40,22.0,21.0,39.0,26.0,28.0,57.0,963.3,963.3,0.0,285,342
Bovec,2025-04-01 16:30:00,12.1,-1.0,12.1,12.2,11.9,40,40,33.0,28.0,45.0,24.0,24.0,43.0,963.1,963.1,0.0,284,283
Bovec,2025-04-01 17:00:00,12.6,-0.6,12.5,12.8,12.1,40,40,29.0,25.0,34.0,22.0,23.0,50.0,963.0,963.1,0.0,369,390
Bovec,2025-04-01 17:30:00,12.3,-0.8,12.5,12.7,12.3,40,40,23.0,24.0,45.0,23.0,22.0,46.0,963.1,963.1,0.0,207,280
Bovec,2025-04-01 18:00:00,12.1,-0.8,12.2,12.4,12.1,41,41,23.0,20.0,23.0,25.0,24.0,45.0,963.4,963.2,0.0,156,194
Bovec,2025-04-01 18:30:00,11.9,-0.9,12.0,12.1,11.8,41,41,10.0,11.0,17.0,19.0,20.0,43.0,963.6,963.5,0.0,77,107
Bovec,2025-04-01 19:00:00,11.6,-0.8,11.7,11.9,11.6,42,42,21.0,19.0,11.0,19.0,21.0,44.0,963.8,963.7,0.0,23,44
