Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Celje,01.04.2025 12:30,10,2.6,9.8,10,9.7,60,61,42,48,356,14,13,28,989.4,989.4,0,106,70
Celje,01.04.2025 13:00,10.1,3.1,10.1,10.1,9.9,62,61,53,52,13,11,12,34,989.4,989.4,0,56,87
Celje,01.04.2025 13:30,10.1,3.2,10,10.2,10,62,61,46,56,66,13,14,27,989.4,989.4,0,114,83
Celje,01.04.2025 14:00,10.6,3,10.3,10.6,10.1,59,60,55,54,60,9,10,22,989.1,989.3,0,145,136
Celje,01.04.2025 14:30,10.6,2.6,10.6,10.6,10.5,58,58,44,45,38,14,14,24,988.8,989,0,85,109
Celje,01.04.2025 15:00,10.5,2.7,10.5,10.6,10.5,58,58,52,46,50,11,15,28,988.6,988.7,0,105,87
Celje,01.04.2025 15:30,10.8,2.9,10.7,10.8,10.6,58,58,40,49,52,11,12,22,988.5,988.5,0,80,91
Celje,01.04.2025 16:00,10.8,2.4,10.8,10.8,10.7,56,57,60,47,33,10,12,24,988.5,988.5,0,64,72
Celje,01.04.2025 16:30,10.8,2.8,10.7,10.8,10.6,58,57,68,73,70,9,9,21,988.5,988.5,0,54,47
Celje,01.04.2025 17:00,11,2.8,10.9,11,10.7,57,56,51,58,52,8,10,19,988.6,988.5,0,63,70
Celje,01.04.2025 17:30,10.9,2.6,10.9,11,10.9,56,57,52,58,60,7,6,12,988.7,988.7,0,48,53
Celje,01.04.2025 18:00,10.8,2.3,10.9,11,10.8,56,56,25,33,17,10,9,18,988.6,988.6,0,17,22
Celje,01.04.2025 18:30,10.3,3.7,10.7,10.8,10.3,64,59,14,8,14,2,6,14,988.7,988.6,0,8,14
Celje,01.04.2025 19:00,9.2,3.9,9.6,10.2,9.2,69,69,199,203,230,4,3,6,988.7,988.7,0,3,7
Celje,01.04.2025 19:30,8.6,5.2,9,9.3,8.5,79,73,250,230,271,4,4,6,988.7,988.6,0,0,2
Celje,01.04.2025 20:00,8.4,5.2,8.4,8.7,8.2,80,80,232,231,246,6,5,8,988.7,988.7,0,0,0
Celje,01.04.2025 20:30,8.4,5,8.4,8.6,8.3,79,79,232,232,231,6,6,8,988.8,988.8,0,0,0
Celje,01.04.2025 21:00,8.6,4.8,8.7,9,8.5,77,76,243,233,235,8,8,12,988.9,988.9,0,0,0
Celje,01.04.2025 21:30,8.7,4.6,9,9.3,8.6,75,72,229,227,227,8,8,12,988.9,988.9,0,0,0
Celje,01.04.2025 22:00,9.4,3.8,9.3,9.8,8.7,68,69,241,233,243,9,9,15,988.7,988.8,0,0,0
Celje,01.04.2025 22:30,9,4.5,9.6,9.9,8.9,73,66,241,237,209,7,8,12,988.8,988.8,0,0,0
Celje,01.04.2025 23:00,9,4.2,8.9,9,8.7,72,73,241,235,247,9,7,12,988.8,988.8,0,0,0
Celje,01.04.2025 23:30,9.5,3.3,9.2,9.5,8.9,65,70,207,222,241,8,9,13,988.9,988.8,0,0,0
Celje,02.04.2025 0:00,9.3,4.2,9.6,10.1,9.2,70,66,227,223,228,8,8,14,989,988.9,0,0,0
Celje,02.04.2025 0:30,9.4,4.4,9.4,9.6,9.2,71,68,217,225,220,4,6,11,989.2,989.1,0,0,0
Celje,02.04.2025 1:00,9.3,4.5,9.4,9.7,9.2,72,69,142,138,101,3,4,9,989.5,989.3,0,0,0
Celje,02.04.2025 1:30,10.1,3.6,9.7,10.1,9.1,64,67,108,118,108,5,5,12,989.8,989.7,0,0,0
Celje,02.04.2025 2:00,10.3,3.6,10.2,10.5,10,63,63,85,88,34,12,9,28,990,989.9,0,0,0
Celje,02.04.2025 2:30,10.3,3.5,10.4,10.6,10.2,62,63,97,89,93,12,8,18,989.9,990,0,0,0
Celje,02.04.2025 3:00,9.9,3.5,10.1,10.4,9.9,64,64,111,98,82,8,10,19,990,990,0,0,0
Celje,02.04.2025 3:30,9.5,3.5,9.6,9.8,9.4,66,66,102,100,101,4,5,12,989.9,990,0,0,0
Celje,02.04.2025 4:00,9.3,3.7,9.2,9.6,8.8,68,70,131,129,138,6,4,10,989.8,989.9,0,0,0
Celje,02.04.2025 4:30,8.8,4,9.2,9.4,8.8,72,69,350,42,100,5,6,13,989.8,989.8,0,0,0
Celje,02.04.2025 5:00,8.8,4,8.8,8.9,8.7,72,71,21,14,31,9,6,12,989.8,989.8,0,0,0
Celje,02.04.2025 5:30,7.6,4.5,8.2,8.8,7.6,80,76,36,49,33,1,3,9,989.9,989.8,0,0,0
Celje,02.04.2025 6:00,7.1,5.1,7.3,7.6,7,87,85,245,236,247,3,3,5,990.1,990,0,0,0
Celje,02.04.2025 6:30,7.4,4.7,7.2,7.4,7,83,86,296,238,296,1,2,4,990.2,990.1,0,1,0
Celje,02.04.2025 7:00,7,5.2,7.2,7.4,7,88,85,259,248,268,4,3,4,990.4,990.3,0,12,6
Celje,02.04.2025 7:30,7.3,5.2,7.2,7.4,7,86,87,205,264,123,2,3,4,990.6,990.6,0,30,18
Celje,02.04.2025 8:00,8,5.8,7.7,8,7.3,86,86,247,245,225,2,3,4,990.8,990.7,0,73,57
Celje,02.04.2025 8:30,8.9,5.7,8.5,8.9,8,80,83,357,338,320,2,1,4,991,990.9,0,107,96
Celje,02.04.2025 9:00,9.7,4.7,9.3,9.8,8.9,71,74,4,5,34,3,3,6,991,991,0,182,132
Celje,02.04.2025 9:30,10.4,4.4,10.1,10.5,9.8,66,69,37,17,97,1,2,4,991.2,991.1,0,242,200
Celje,02.04.2025 10:00,11.2,3.9,11,11.3,10.5,60,63,85,73,74,3,3,8,991.3,991.2,0,200,256
Celje,02.04.2025 10:30,11.6,4.5,11.3,11.6,11.1,62,61,77,97,60,5,5,11,991.4,991.3,0,216,239
Celje,02.04.2025 11:00,11.9,3.6,11.7,12,11.4,57,59,106,101,98,6,6,11,991.4,991.4,0,236,288
Celje,02.04.2025 11:30,13,4,12.5,13.5,11.8,54,57,122,132,105,9,7,14,991.3,991.3,0,384,509
Celje,02.04.2025 12:00,14.1,5.1,13.2,14.2,12.9,55,54,135,120,120,4,9,18,991.2,991.3,0,745,526
Celje,02.04.2025 12:30,13.9,4.3,13.9,14.3,13.6,52,53,139,120,130,10,9,18,990.9,991.1,0,663,477
Celje,02.04.2025 13:00,15.2,4.6,14.7,15.4,14,49,50,63,81,77,7,8,18,990.6,990.8,0,343,678
Celje,02.04.2025 13:30,15.5,5.9,15.2,15.6,14.9,53,48,6,7,352,7,7,14,990.4,990.5,0,982,758
Celje,02.04.2025 14:00,15.6,4,15.6,16.1,15.2,46,48,30,22,24,6,7,14,990.2,990.3,0,369,751
Celje,02.04.2025 14:30,16.5,4.2,16.2,16.6,15.6,44,46,44,57,354,8,7,17,990,990.1,0,862,767
Celje,02.04.2025 15:00,15.7,3.9,16.1,16.5,15.7,45,46,80,53,45,8,8,18,989.8,990,0,369,441
Celje,02.04.2025 15:30,17,4.8,16.2,17,15.7,44,46,44,47,75,6,7,17,989.7,989.8,0,692,565
Celje,02.04.2025 16:00,16.2,3.8,16.7,17.4,16.2,44,42,45,36,43,6,5,15,989.5,989.6,0,134,361
Celje,02.04.2025 16:30,15.9,4.5,16,16.2,15.9,47,44,48,43,26,5,7,14,989.5,989.5,0,115,138
Celje,02.04.2025 17:00,15.2,3.5,15.5,15.9,15.2,45,46,25,32,32,9,9,15,989.5,989.5,0,82,68
Celje,02.04.2025 17:30,15,4.6,15.2,15.3,15,50,48,96,69,111,11,9,20,989.6,989.6,0,105,99
Celje,02.04.2025 18:00,14.9,4.4,14.9,15,14.8,49,50,93,98,110,9,11,19,989.9,989.7,0,86,104
Celje,02.04.2025 18:30,14.4,4.7,14.6,14.9,14.4,52,50,69,83,84,7,8,17,990.1,990,0,33,42
Celje,02.04.2025 19:00,14.4,4.9,14.4,14.5,14.3,53,52,77,74,105,5,6,12,990.2,990.2,0,44,39
Celje,02.04.2025 19:30,13.9,5,14.1,14.4,13.8,55,54,60,66,47,9,8,14,990.4,990.3,0,2,17
Celje,02.04.2025 20:00,12.7,5.4,13.4,13.8,12.7,61,57,55,56,46,16,15,35,991,990.8,0,0,0
Celje,02.04.2025 20:30,11.9,6.5,12.1,12.7,11.9,70,68,89,83,73,7,10,26,991.4,991.3,0.03,0,0
Celje,02.04.2025 21:00,12.1,6.2,12,12.1,11.9,67,69,85,87,90,10,9,17,991.7,991.6,0,0,0
Celje,02.04.2025 21:30,12.1,5.8,12.1,12.2,12,65,66,86,90,80,12,11,17,992,991.9,0,0,0
Celje,02.04.2025 22:00,12,4.7,12.1,12.2,12,61,63,79,83,105,12,12,21,992.4,992.2,0,0,0
Celje,02.04.2025 22:30,12,5,12.1,12.2,11.9,62,61,84,83,101,8,10,22,992.6,992.5,0,0,0
Celje,02.04.2025 23:00,11.7,4.5,11.9,12,11.7,61,62,64,66,60,8,8,17,992.9,992.8,0,0,0
Celje,02.04.2025 23:30,11.5,4.3,11.7,11.8,11.5,61,60,96,81,72,10,10,20,993,993,0,0,0
Celje,03.04.2025 0:00,11.4,4.3,11.5,11.6,11.3,62,62,95,94,85,10,10,19,993.3,993.2,0,0,0
Celje,03.04.2025 0:30,11,4.8,11.2,11.4,11,65,63,90,91,96,10,11,18,993.5,993.4,0,0,0
Celje,03.04.2025 1:00,10.6,4.8,10.8,11,10.6,67,66,98,95,94,7,8,13,993.5,993.5,0,0,0
Celje,03.04.2025 1:30,10.5,5,10.6,10.7,10.5,69,67,110,113,110,6,7,12,993.5,993.5,0,0,0
Celje,03.04.2025 2:00,10.2,4.9,10.3,10.5,10.1,69,69,130,126,114,5,6,10,993.5,993.5,0,0,0
Celje,03.04.2025 2:30,9.8,5.2,9.9,10.1,9.7,73,73,139,136,124,4,5,7,993.4,993.4,0,0,0
Celje,03.04.2025 3:00,8.8,6.1,9.2,9.8,8.7,83,79,252,269,305,5,5,8,993.2,993.3,0,0,0
Celje,03.04.2025 3:30,8.7,6,8.7,8.9,8.6,83,83,255,253,258,5,6,8,993.1,993.2,0,0,0
Celje,03.04.2025 4:00,8.4,5.8,8.6,8.9,8.3,84,82,235,245,248,5,6,8,992.8,992.9,0,0,0
Celje,03.04.2025 4:30,9.2,5,8.6,9.2,8.2,75,80,243,241,245,8,7,12,992.7,992.8,0,1,0
Celje,03.04.2025 5:00,9.5,4.8,9.5,9.8,9.2,72,72,239,238,250,10,10,15,992.6,992.6,0,0,0
Celje,03.04.2025 5:30,8.7,4.4,9.2,9.5,8.7,74,72,238,239,234,6,6,12,992.9,992.7,0,0,0
Celje,03.04.2025 6:00,8.5,4.6,8.4,8.6,8.2,76,78,308,244,229,3,5,8,993,992.9,0,0,0
Celje,03.04.2025 6:30,7.5,4.5,8.2,8.7,7.5,81,78,226,244,231,5,5,10,992.9,992.9,0,0,0
Celje,03.04.2025 7:00,7,4.9,6.9,7.5,6.4,86,83,226,228,215,6,6,10,993.1,993,0,14,7
Celje,03.04.2025 7:30,8.8,4.9,8.4,8.9,7.1,76,79,239,236,232,10,9,14,993.1,993.2,0,41,27
Celje,03.04.2025 8:00,9.8,5.3,9.2,9.8,8.7,74,77,254,250,247,8,8,12,993.4,993.3,0,66,50
Celje,03.04.2025 8:30,10.7,4.9,10.3,10.7,9.8,67,70,241,246,237,11,10,16,993.4,993.4,0,132,100
Celje,03.04.2025 9:00,11.3,5.1,11.1,11.3,10.7,65,67,263,253,247,9,10,15,,,0,201,168
Celje,03.04.2025 9:30,12,5.6,11.7,12.1,11.3,65,64,259,260,274,10,10,15,993.6,993.6,0,539,298
Celje,03.04.2025 10:00,13.1,5.8,12.7,13.1,12.3,61,62,250,255,251,11,11,16,993.8,993.7,0,543,511
Celje,03.04.2025 10:30,13.9,5.7,13.4,14,12.9,58,59,249,249,246,9,9,15,993.7,993.7,0,617,581
Celje,03.04.2025 11:00,15,6.2,14.3,15,13.9,56,54,239,251,248,8,8,13,993.5,993.6,0,700,658
Celje,03.04.2025 12:00,16.9,4.4,16.1,17,15.4,43,46,132,216,237,4,5,12,992.9,993.1,0,920,795
Celje,03.04.2025 12:30,16.9,6.6,16.7,17.1,15.9,51,45,253,248,273,7,6,17,992.8,992.9,0,532,788
