Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Celje,2025-04-04 15:30:00,18.4,4.6,18.1,18.5,17.8,40,39,104.0,102.0,70.0,12.0,15.0,26.0,989.8,989.9,0.0,469,689
Celje,2025-04-04 16:00:00,18.0,3.4,18.0,18.5,17.6,38,39,94.0,89.0,91.0,16.0,15.0,26.0,989.4,989.6,0.0,580,530
Celje,2025-04-04 16:30:00,18.1,4.1,18.0,18.3,17.8,40,38,94.0,97.0,118.0,14.0,14.0,26.0,989.0,989.2,0.0,489,536
Celje,2025-04-04 17:00:00,17.7,2.2,18.0,18.3,17.7,35,38,100.0,93.0,109.0,17.0,15.0,26.0,988.7,988.8,0.0,401,443
Celje,2025-04-04 17:30:00,17.6,3.3,17.8,18.0,17.6,38,37,110.0,104.0,109.0,13.0,14.0,23.0,988.6,988.7,0.0,309,355
Celje,2025-04-04 18:00:00,17.5,3.0,17.5,17.6,17.4,38,38,105.0,109.0,116.0,11.0,13.0,22.0,988.4,988.5,0.0,216,260
Celje,2025-04-04 18:30:00,17.2,2.4,17.3,17.5,17.1,37,38,111.0,105.0,106.0,9.0,9.0,18.0,988.2,988.3,0.0,127,169
Celje,2025-04-04 19:00:00,16.5,2.4,16.8,17.1,16.4,39,38,115.0,117.0,94.0,6.0,7.0,15.0,988.2,988.2,0.0,49,85
Celje,2025-04-04 19:30:00,13.5,4.6,15.0,16.4,13.5,55,48,164.0,142.0,118.0,3.0,3.0,6.0,988.1,988.1,0.0,1,19
Celje,2025-04-04 20:00:00,11.6,5.1,12.6,13.5,11.6,64,60,148.0,157.0,147.0,3.0,2.0,3.0,988.2,988.1,0.0,0,0
Celje,2025-04-04 20:30:00,9.3,4.3,10.2,11.6,9.2,71,70,256.0,225.0,235.0,4.0,3.0,5.0,988.4,988.3,0.0,0,0
Celje,2025-04-04 21:00:00,8.5,4.4,8.9,9.4,8.3,76,75,220.0,223.0,234.0,2.0,2.0,4.0,988.3,988.3,0.0,0,0
Celje,2025-04-04 21:30:00,7.2,3.5,8.2,8.6,7.2,77,77,240.0,221.0,238.0,3.0,2.0,5.0,988.3,988.3,0.0,0,0
Celje,2025-04-04 22:00:00,6.9,3.6,7.2,7.5,6.8,79,81,249.0,243.0,254.0,3.0,3.0,5.0,988.1,988.2,0.0,0,0
Celje,2025-04-04 22:30:00,6.7,3.9,6.8,7.1,6.5,82,82,181.0,221.0,180.0,3.0,3.0,5.0,988.0,988.1,0.0,0,0
Celje,2025-04-04 23:00:00,6.0,3.4,6.4,6.9,6.0,84,83,214.0,242.0,222.0,4.0,3.0,6.0,987.9,988.0,0.0,0,0
Celje,2025-04-04 23:30:00,5.6,3.4,5.9,6.3,5.5,86,84,246.0,283.0,317.0,1.0,2.0,4.0,987.9,987.9,0.0,0,0
Celje,2025-04-05 00:00:00,5.2,3.3,5.4,5.6,5.0,87,87,226.0,226.0,214.0,3.0,3.0,5.0,987.6,987.7,0.0,0,0
Celje,2025-04-05 00:30:00,5.0,3.2,5.1,5.2,4.9,88,88,275.0,266.0,226.0,2.0,3.0,4.0,987.5,987.5,0.0,0,0
Celje,2025-04-05 01:00:00,4.4,3.0,4.6,4.9,4.4,91,89,163.0,202.0,219.0,2.0,2.0,3.0,987.2,987.3,0.0,0,0
Celje,2025-04-05 01:30:00,3.8,2.5,4.4,4.8,3.8,91,90,280.0,5.0,342.0,1.0,1.0,4.0,987.0,987.1,0.0,0,0
Celje,2025-04-05 02:00:00,4.0,2.9,4.0,4.1,3.8,93,92,144.0,194.0,187.0,2.0,2.0,4.0,986.8,986.9,0.0,0,0
Celje,2025-04-05 02:30:00,3.7,2.5,3.7,4.0,3.4,92,92,330.0,330.0,352.0,3.0,2.0,6.0,986.7,986.7,0.0,0,0
Celje,2025-04-05 03:00:00,3.0,1.8,3.1,3.7,2.8,92,92,229.0,226.0,187.0,3.0,2.0,4.0,986.4,986.5,0.0,0,0
Celje,2025-04-05 03:30:00,3.0,2.0,3.0,3.0,2.8,93,93,41.0,148.0,209.0,1.0,1.0,3.0,986.2,986.3,0.0,0,0
Celje,2025-04-05 04:00:00,2.6,1.6,2.8,3.2,2.4,93,93,137.0,209.0,180.0,1.0,1.0,2.0,985.9,986.0,0.0,0,0
Celje,2025-04-05 04:30:00,2.1,1.2,2.4,2.7,1.9,94,94,267.0,278.0,303.0,3.0,2.0,5.0,985.5,985.7,0.0,0,0
Celje,2025-04-05 05:00:00,2.0,1.3,2.1,2.5,1.8,95,95,226.0,246.0,292.0,1.0,2.0,5.0,985.2,985.3,0.0,0,0
Celje,2025-04-05 05:30:00,2.0,1.2,2.0,2.1,1.9,94,95,60.0,80.0,55.0,1.0,1.0,3.0,984.9,985.0,0.0,0,0
Celje,2025-04-05 06:00:00,1.8,1.0,1.7,2.3,1.3,95,94,187.0,100.0,343.0,3.0,3.0,4.0,984.9,984.9,0.0,0,0
Celje,2025-04-05 06:30:00,1.7,1.0,1.8,2.0,1.6,95,95,73.0,235.0,41.0,1.0,1.0,3.0,984.6,984.7,0.0,2,0
Celje,2025-04-05 07:00:00,1.4,0.6,1.7,1.9,1.4,94,95,112.0,71.0,150.0,1.0,1.0,3.0,984.6,984.6,0.0,20,11
Celje,2025-04-05 07:30:00,2.9,2.2,2.1,3.0,1.4,95,95,352.0,182.0,341.0,3.0,2.0,4.0,984.2,984.4,0.0,120,75
Celje,2025-04-05 08:00:00,4.7,3.2,3.9,4.8,3.0,90,93,299.0,136.0,302.0,2.0,2.0,4.0,983.9,984.0,0.0,210,164
Celje,2025-04-05 08:30:00,7.8,6.2,6.0,8.0,4.8,89,90,232.0,230.0,246.0,6.0,4.0,12.0,983.8,984.0,0.0,303,258
Celje,2025-04-05 09:00:00,11.5,5.6,10.7,11.6,8.1,67,72,270.0,256.0,234.0,10.0,11.0,17.0,983.7,983.6,0.0,357,308
Celje,2025-04-05 09:30:00,12.1,5.1,11.8,12.1,11.4,62,64,263.0,262.0,267.0,14.0,13.0,18.0,983.4,983.6,0.0,511,333
Celje,2025-04-05 10:00:00,13.6,5.5,12.9,13.7,12.2,58,60,251.0,260.0,256.0,16.0,16.0,21.0,983.4,983.4,0.0,570,526
Celje,2025-04-05 10:30:00,14.8,5.9,14.1,14.8,13.6,55,56,255.0,251.0,249.0,15.0,15.0,21.0,982.8,983.2,0.0,661,617
Celje,2025-04-05 11:00:00,15.3,4.6,15.1,15.5,14.7,49,52,239.0,246.0,254.0,10.0,11.0,17.0,982.5,982.7,0.0,697,618
Celje,2025-04-05 11:30:00,16.6,5.9,15.9,16.6,15.4,49,49,249.0,248.0,268.0,11.0,10.0,17.0,982.5,982.5,0.0,745,708
Celje,2025-04-05 12:00:00,17.3,6.1,16.9,17.3,16.5,48,48,252.0,263.0,259.0,13.0,13.0,21.0,981.9,982.2,0.0,782,759
Celje,2025-04-05 12:30:00,18.3,4.6,17.9,18.4,17.3,40,44,244.0,241.0,218.0,8.0,10.0,18.0,981.4,981.6,0.0,803,790
Celje,2025-04-05 13:00:00,18.7,5.1,18.7,18.9,18.2,41,42,260.0,253.0,256.0,7.0,6.0,14.0,980.9,981.1,0.0,823,801
Celje,2025-04-05 13:30:00,20.6,7.0,19.6,20.6,18.8,41,38,149.0,199.0,304.0,4.0,4.0,9.0,980.3,980.6,0.0,810,814
Celje,2025-04-05 14:00:00,21.1,5.6,20.8,21.2,20.3,36,32,245.0,186.0,131.0,5.0,6.0,14.0,979.7,980.0,0.0,795,803
Celje,2025-04-05 14:30:00,21.2,2.7,20.9,21.4,20.6,29,31,270.0,268.0,327.0,9.0,10.0,26.0,979.2,979.4,0.0,767,779
Celje,2025-04-05 15:00:00,21.3,2.8,21.2,21.4,20.9,29,30,254.0,253.0,249.0,12.0,11.0,21.0,978.7,978.9,0.0,720,735
Celje,2025-04-05 15:30:00,21.8,1.5,21.6,22.0,21.2,26,28,95.0,196.0,242.0,4.0,5.0,14.0,978.1,978.4,0.0,669,624
Celje,2025-04-05 16:00:00,22.1,1.8,22.0,22.4,21.7,26,27,289.0,337.0,247.0,6.0,6.0,14.0,977.6,977.9,0.0,584,617
Celje,2025-04-05 16:30:00,22.8,4.1,22.4,22.9,21.9,30,28,229.0,255.0,269.0,4.0,6.0,18.0,977.3,977.4,0.0,441,540
Celje,2025-04-05 17:00:00,22.3,0.9,22.8,23.5,22.3,24,26,99.0,95.0,47.0,4.0,3.0,9.0,976.9,977.1,0.0,242,382
Celje,2025-04-05 17:30:00,22.2,3.8,22.0,22.4,21.7,30,28,86.0,72.0,102.0,3.0,3.0,5.0,976.8,976.9,0.0,328,193
Celje,2025-04-05 18:00:00,22.9,1.6,22.6,23.0,22.2,25,26,301.0,35.0,39.0,2.0,3.0,9.0,976.8,976.8,0.0,123,245
Celje,2025-04-05 18:30:00,20.2,7.5,21.7,22.7,20.0,44,35,142.0,239.0,286.0,2.0,2.0,7.0,976.7,976.7,0.0,61,115
Celje,2025-04-05 19:00:00,20.1,3.7,19.9,20.3,19.6,34,36,331.0,328.0,316.0,7.0,6.0,13.0,976.8,976.8,0.0,73,58
Celje,2025-04-05 19:30:00,17.2,6.9,18.4,20.2,17.1,51,46,121.0,116.0,356.0,2.0,2.0,6.0,977.1,976.9,0.0,0,18
Celje,2025-04-05 20:00:00,14.3,8.3,15.6,17.2,14.3,67,59,228.0,222.0,250.0,6.0,4.0,7.0,977.5,977.4,0.0,0,0
Celje,2025-04-05 20:30:00,13.5,7.4,14.4,14.9,13.5,67,63,210.0,177.0,235.0,5.0,4.0,8.0,977.7,977.6,0.0,0,0
Celje,2025-04-05 21:00:00,15.6,5.6,14.0,15.7,13.3,51,63,278.0,231.0,347.0,5.0,3.0,10.0,978.0,977.9,0.0,0,0
Celje,2025-04-05 21:30:00,14.2,6.8,14.2,15.8,13.7,61,61,109.0,135.0,63.0,4.0,4.0,9.0,978.2,978.1,0.0,0,0
Celje,2025-04-05 22:00:00,14.7,5.6,14.4,15.1,13.7,54,59,95.0,98.0,89.0,28.0,18.0,40.0,979.1,978.6,0.0,0,0
Celje,2025-04-05 22:30:00,13.7,3.7,14.1,14.7,13.7,51,53,101.0,99.0,105.0,26.0,25.0,44.0,979.9,979.6,0.0,0,0
Celje,2025-04-05 23:00:00,12.8,1.3,13.4,13.7,12.8,45,48,87.0,89.0,80.0,28.0,26.0,49.0,980.5,980.2,0.0,0,0
Celje,2025-04-05 23:30:00,11.5,-1.3,12.3,12.8,11.5,41,44,92.0,92.0,90.0,26.0,26.0,47.0,981.3,980.9,0.0,0,0
Celje,2025-04-06 00:00:00,10.4,-2.0,10.8,11.5,10.3,42,41,87.0,86.0,76.0,24.0,26.0,48.0,982.2,981.8,0.0,0,0
Celje,2025-04-06 00:30:00,9.7,-3.1,10.0,10.3,9.7,40,40,94.0,94.0,95.0,24.0,23.0,40.0,982.7,982.4,0.0,0,0
Celje,2025-04-06 01:00:00,9.3,-2.9,9.5,9.7,9.2,42,41,93.0,92.0,91.0,23.0,22.0,42.0,982.9,982.8,0.0,0,0
Celje,2025-04-06 01:30:00,8.8,-2.8,9.0,9.3,8.8,44,43,88.0,93.0,93.0,22.0,21.0,41.0,983.4,983.2,0.0,0,0
Celje,2025-04-06 02:00:00,7.9,-2.4,8.3,8.8,7.8,48,45,89.0,88.0,95.0,21.0,23.0,41.0,983.9,983.7,0.0,0,0
Celje,2025-04-06 02:30:00,7.3,-2.0,7.6,7.9,7.3,51,50,108.0,98.0,105.0,15.0,17.0,34.0,984.0,984.1,0.0,0,0
Celje,2025-04-06 03:00:00,7.5,-2.7,7.3,7.5,7.2,48,50,105.0,109.0,100.0,15.0,14.0,27.0,984.3,984.2,0.0,0,0
Celje,2025-04-06 03:30:00,7.6,-4.0,7.6,7.7,7.4,43,45,99.0,98.0,106.0,15.0,15.0,33.0,984.5,984.3,0.0,0,0
Celje,2025-04-06 04:00:00,7.5,-3.9,7.6,7.7,7.5,44,43,94.0,96.0,108.0,17.0,17.0,37.0,984.7,984.5,0.0,0,0
Celje,2025-04-06 04:30:00,6.6,-3.7,7.1,7.5,6.6,48,45,79.0,76.0,81.0,26.0,24.0,41.0,985.2,984.9,0.0,0,0
Celje,2025-04-06 05:00:00,6.0,-3.4,6.2,6.6,6.0,51,49,75.0,75.0,83.0,18.0,21.0,37.0,985.6,985.4,0.0,0,0
Celje,2025-04-06 05:30:00,5.4,-3.0,5.7,6.0,5.4,54,52,68.0,71.0,74.0,23.0,22.0,35.0,986.0,985.8,0.0,0,0
Celje,2025-04-06 06:00:00,4.6,-3.4,5.0,5.4,4.6,56,55,73.0,78.0,88.0,21.0,21.0,39.0,986.6,986.3,0.0,0,0
Celje,2025-04-06 06:30:00,4.0,-4.2,4.2,4.6,3.9,55,55,88.0,79.0,64.0,19.0,22.0,39.0,987.2,986.9,0.0,0,0
Celje,2025-04-06 07:00:00,3.5,-4.6,3.7,4.0,3.5,55,55,94.0,91.0,110.0,22.0,21.0,38.0,987.7,987.4,0.0,2,1
Celje,2025-04-06 07:30:00,3.0,-4.5,3.3,3.5,3.0,58,57,80.0,84.0,69.0,17.0,19.0,36.0,988.1,987.9,0.0,9,5
Celje,2025-04-06 08:00:00,2.9,-3.8,2.8,3.1,2.6,61,60,83.0,87.0,95.0,14.0,16.0,28.0,988.6,988.4,0.0,82,32
