Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Mežica,2025-04-04 23:20:00,7.3,2.8,7.3,,,73,74,,,,,,,,,0.0,,
Mežica,2025-04-04 23:30:00,7.2,2.9,7.3,,,74,74,,,,,,,,,0.0,,
Mežica,2025-04-04 23:40:00,6.8,3.1,7.0,,,77,77,,,,,,,,,0.0,,
Mežica,2025-04-04 23:50:00,6.8,2.9,6.8,,,76,76,,,,,,,,,0.0,,
Mežica,2025-04-05 00:00:00,6.7,2.8,6.7,,,76,76,,,,,,,,,0.0,,
Mežica,2025-04-05 00:10:00,6.7,2.8,6.9,,,76,75,,,,,,,,,0.0,,
Mežica,2025-04-05 00:20:00,6.4,2.9,6.5,,,78,77,,,,,,,,,0.0,,
Mežica,2025-04-05 00:30:00,6.1,2.7,6.2,,,79,78,,,,,,,,,0.0,,
Mežica,2025-04-05 00:40:00,5.9,2.7,6.0,,,80,80,,,,,,,,,0.0,,
Mežica,2025-04-05 00:50:00,5.6,2.4,5.7,,,80,80,,,,,,,,,0.0,,
Mežica,2025-04-05 01:00:00,5.5,2.3,5.6,,,80,80,,,,,,,,,0.0,,
Mežica,2025-04-05 01:10:00,5.2,2.4,5.3,,,82,81,,,,,,,,,0.0,,
Mežica,2025-04-05 01:20:00,5.2,2.4,5.1,,,82,82,,,,,,,,,0.0,,
Mežica,2025-04-05 01:30:00,4.9,2.3,4.9,,,83,82,,,,,,,,,0.0,,
Mežica,2025-04-05 01:40:00,4.7,2.1,4.8,,,83,83,,,,,,,,,0.0,,
Mežica,2025-04-05 01:50:00,4.9,2.3,4.8,,,83,84,,,,,,,,,0.0,,
Mežica,2025-04-05 02:00:00,5.0,2.2,5.0,,,82,82,,,,,,,,,0.0,,
Mežica,2025-04-05 02:10:00,4.8,2.2,4.9,,,83,82,,,,,,,,,0.0,,
Mežica,2025-04-05 02:20:00,4.8,2.2,4.8,,,83,83,,,,,,,,,0.0,,
Mežica,2025-04-05 02:30:00,4.5,2.0,4.6,,,84,83,,,,,,,,,0.0,,
Mežica,2025-04-05 02:40:00,4.2,1.9,4.3,,,85,84,,,,,,,,,0.0,,
Mežica,2025-04-05 02:50:00,4.1,2.0,4.0,,,86,85,,,,,,,,,0.0,,
Mežica,2025-04-05 03:00:00,3.9,1.6,4.0,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 03:10:00,4.1,1.8,4.0,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 03:20:00,3.9,1.8,4.0,,,86,85,,,,,,,,,0.0,,
Mežica,2025-04-05 03:30:00,3.9,1.8,3.9,,,86,86,,,,,,,,,0.0,,
Mežica,2025-04-05 03:40:00,3.9,1.6,3.9,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 03:50:00,3.8,1.5,3.9,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 04:00:00,3.9,1.6,3.8,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 04:10:00,3.6,1.3,3.7,,,85,85,,,,,,,,,0.0,,
Mežica,2025-04-05 04:20:00,3.5,1.5,3.5,,,87,87,,,,,,,,,0.0,,
Mežica,2025-04-05 04:30:00,3.2,1.3,3.3,,,87,87,,,,,,,,,0.0,,
Mežica,2025-04-05 04:40:00,3.0,1.4,3.0,,,89,88,,,,,,,,,0.0,,
Mežica,2025-04-05 04:50:00,2.8,1.2,2.9,,,89,89,,,,,,,,,0.0,,
Mežica,2025-04-05 05:00:00,2.6,1.0,2.7,,,89,89,,,,,,,,,0.0,,
Mežica,2025-04-05 05:10:00,2.6,1.1,2.6,,,90,89,,,,,,,,,0.0,,
Mežica,2025-04-05 05:20:00,2.4,0.9,2.5,,,90,90,,,,,,,,,0.0,,
Mežica,2025-04-05 05:30:00,2.5,1.2,2.4,,,91,90,,,,,,,,,0.0,,
Mežica,2025-04-05 05:40:00,2.3,0.8,2.3,,,90,90,,,,,,,,,0.0,,
Mežica,2025-04-05 05:50:00,2.2,0.9,2.3,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 06:00:00,2.1,0.8,2.1,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 06:10:00,2.0,0.8,2.0,,,92,91,,,,,,,,,0.0,,
Mežica,2025-04-05 06:20:00,2.0,0.7,2.0,,,91,92,,,,,,,,,0.0,,
Mežica,2025-04-05 06:30:00,1.9,0.6,2.0,,,91,92,,,,,,,,,0.0,,
Mežica,2025-04-05 06:40:00,2.0,0.7,2.0,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 06:50:00,1.9,0.7,1.9,,,92,92,,,,,,,,,0.0,,
Mežica,2025-04-05 07:00:00,1.8,0.6,2.0,,,92,92,,,,,,,,,0.0,,
Mežica,2025-04-05 07:10:00,1.8,0.6,1.8,,,92,92,,,,,,,,,0.0,,
Mežica,2025-04-05 07:20:00,1.8,0.6,1.8,,,92,92,,,,,,,,,0.0,,
Mežica,2025-04-05 07:30:00,2.0,0.7,2.0,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 07:40:00,2.1,0.8,2.0,,,91,92,,,,,,,,,0.0,,
Mežica,2025-04-05 07:50:00,2.1,0.8,2.1,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:00:00,2.2,0.9,2.2,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:10:00,2.3,1.1,2.3,,,92,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:20:00,2.5,1.2,2.4,,,91,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:30:00,2.8,1.6,2.6,,,92,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:40:00,3.3,1.8,3.0,,,90,91,,,,,,,,,0.0,,
Mežica,2025-04-05 08:50:00,3.6,2.3,3.5,,,91,90,,,,,,,,,0.0,,
Mežica,2025-04-05 09:00:00,3.8,2.3,3.7,,,90,90,,,,,,,,,0.0,,
Mežica,2025-04-05 09:10:00,4.1,2.6,4.0,,,90,90,,,,,,,,,0.0,,
Mežica,2025-04-05 09:20:00,5.2,3.2,4.5,,,87,89,,,,,,,,,0.0,,
Mežica,2025-04-05 09:30:00,6.5,3.0,6.3,,,78,79,,,,,,,,,0.0,,
Mežica,2025-04-05 09:40:00,7.6,2.7,7.1,,,71,73,,,,,,,,,0.0,,
Mežica,2025-04-05 09:50:00,8.1,3.6,7.9,,,73,72,,,,,,,,,0.0,,
Mežica,2025-04-05 10:00:00,9.1,2.7,8.5,,,64,70,,,,,,,,,0.0,,
Mežica,2025-04-05 10:10:00,9.4,3.6,9.3,,,67,66,,,,,,,,,0.0,,
Mežica,2025-04-05 10:20:00,10.1,3.6,9.7,,,64,66,,,,,,,,,0.0,,
Mežica,2025-04-05 10:30:00,10.8,3.8,10.6,,,62,61,,,,,,,,,0.0,,
Mežica,2025-04-05 10:40:00,11.2,4.2,11.2,,,62,61,,,,,,,,,0.0,,
Mežica,2025-04-05 10:50:00,11.8,4.1,11.4,,,59,63,,,,,,,,,0.0,,
Mežica,2025-04-05 11:00:00,12.0,3.5,12.0,,,56,59,,,,,,,,,0.0,,
Mežica,2025-04-05 11:10:00,12.5,4.2,12.4,,,57,59,,,,,,,,,0.0,,
Mežica,2025-04-05 11:20:00,13.1,3.8,12.9,,,53,56,,,,,,,,,0.0,,
Mežica,2025-04-05 11:30:00,13.6,4.5,13.5,,,54,54,,,,,,,,,0.0,,
Mežica,2025-04-05 11:40:00,14.0,3.8,13.9,,,50,52,,,,,,,,,0.0,,
Mežica,2025-04-05 11:50:00,14.6,4.9,14.3,,,52,52,,,,,,,,,0.0,,
Mežica,2025-04-05 12:00:00,15.1,4.5,15.0,,,49,50,,,,,,,,,0.0,,
Mežica,2025-04-05 12:10:00,15.2,4.3,15.1,,,48,49,,,,,,,,,0.0,,
Mežica,2025-04-05 12:20:00,15.4,3.9,15.3,,,46,48,,,,,,,,,0.0,,
Mežica,2025-04-05 12:30:00,16.1,4.5,15.7,,,46,46,,,,,,,,,0.0,,
Mežica,2025-04-05 12:40:00,16.6,5.0,16.4,,,46,45,,,,,,,,,0.0,,
Mežica,2025-04-05 12:50:00,17.5,4.8,17.0,,,43,43,,,,,,,,,0.0,,
Mežica,2025-04-05 13:00:00,17.3,3.6,17.3,,,40,40,,,,,,,,,0.0,,
Mežica,2025-04-05 13:10:00,17.3,2.5,17.4,,,37,39,,,,,,,,,0.0,,
Mežica,2025-04-05 13:20:00,18.0,3.1,17.7,,,37,37,,,,,,,,,0.0,,
Mežica,2025-04-05 13:30:00,18.2,2.5,18.0,,,35,36,,,,,,,,,0.0,,
Mežica,2025-04-05 13:40:00,18.8,1.8,18.6,,,32,32,,,,,,,,,0.0,,
Mežica,2025-04-05 13:50:00,18.7,0.8,18.8,,,30,30,,,,,,,,,0.0,,
Mežica,2025-04-05 14:00:00,19.3,1.8,19.1,,,31,30,,,,,,,,,0.0,,
Mežica,2025-04-05 14:10:00,19.7,0.7,19.3,,,28,26,,,,,,,,,0.0,,
Mežica,2025-04-05 14:20:00,19.7,0.7,19.6,,,28,27,,,,,,,,,0.0,,
Mežica,2025-04-05 14:30:00,20.2,2.6,19.9,,,31,28,,,,,,,,,0.0,,
Mežica,2025-04-05 14:40:00,20.1,1.6,20.2,,,29,29,,,,,,,,,0.0,,
Mežica,2025-04-05 14:50:00,20.0,2.4,20.0,,,31,30,,,,,,,,,0.0,,
Mežica,2025-04-05 15:00:00,20.0,1.9,19.9,,,30,29,,,,,,,,,0.0,,
Mežica,2025-04-05 15:10:00,20.2,2.1,19.9,,,30,30,,,,,,,,,0.0,,
Mežica,2025-04-05 15:20:00,20.5,2.4,20.2,,,30,30,,,,,,,,,0.0,,
Mežica,2025-04-05 15:30:00,20.5,1.9,20.5,,,29,29,,,,,,,,,0.0,,
Mežica,2025-04-05 15:40:00,20.4,1.3,20.6,,,28,28,,,,,,,,,0.0,,
Mežica,2025-04-05 15:50:00,21.2,2.5,20.8,,,29,28,,,,,,,,,0.0,,
Mežica,2025-04-05 16:00:00,21.0,1.3,21.0,,,27,27,,,,,,,,,0.0,,
Mežica,2025-04-05 16:10:00,21.0,0.3,21.2,,,25,27,,,,,,,,,0.0,,
Mežica,2025-04-05 16:20:00,20.7,0.6,21.0,,,26,26,,,,,,,,,0.0,,
Mežica,2025-04-05 16:30:00,20.5,1.4,20.4,,,28,27,,,,,,,,,0.0,,
Mežica,2025-04-05 16:40:00,20.3,4.0,20.4,,,34,28,,,,,,,,,0.0,,
Mežica,2025-04-05 16:50:00,19.9,1.4,20.0,,,29,29,,,,,,,,,0.0,,
Mežica,2025-04-05 17:00:00,19.6,2.5,19.6,,,32,31,,,,,,,,,0.0,,
Mežica,2025-04-05 17:10:00,20.0,1.5,19.8,,,29,31,,,,,,,,,0.0,,
Mežica,2025-04-05 17:20:00,19.4,3.2,19.7,,,34,33,,,,,,,,,0.0,,
Mežica,2025-04-05 17:30:00,19.0,2.8,19.4,,,34,33,,,,,,,,,0.0,,
Mežica,2025-04-05 17:40:00,19.1,2.9,19.3,,,34,32,,,,,,,,,0.0,,
Mežica,2025-04-05 17:50:00,19.0,5.1,19.2,,,40,34,,,,,,,,,0.0,,
Mežica,2025-04-05 18:00:00,18.6,2.9,18.8,,,35,36,,,,,,,,,0.0,,
Mežica,2025-04-05 18:10:00,18.3,3.8,18.4,,,38,39,,,,,,,,,0.0,,
Mežica,2025-04-05 18:20:00,17.8,5.4,18.0,,,44,43,,,,,,,,,0.0,,
Mežica,2025-04-05 18:30:00,17.4,5.7,17.7,,,46,46,,,,,,,,,0.0,,
Mežica,2025-04-05 18:40:00,18.3,0.5,17.7,,,30,38,,,,,,,,,0.0,,
Mežica,2025-04-05 18:50:00,18.4,0.1,18.4,,,29,30,,,,,,,,,0.0,,
Mežica,2025-04-05 19:00:00,17.8,1.4,18.2,,,33,32,,,,,,,,,0.0,,
Mežica,2025-04-05 19:10:00,17.6,2.0,17.7,,,35,34,,,,,,,,,0.0,,
Mežica,2025-04-05 19:20:00,16.5,3.9,17.0,,,43,40,,,,,,,,,0.0,,
Mežica,2025-04-05 19:30:00,15.7,4.4,16.2,,,47,45,,,,,,,,,0.0,,
Mežica,2025-04-05 19:40:00,15.5,4.3,15.6,,,47,47,,,,,,,,,0.0,,
Mežica,2025-04-05 19:50:00,15.1,4.8,15.2,,,50,51,,,,,,,,,0.0,,
Mežica,2025-04-05 20:00:00,14.6,5.4,14.7,,,54,53,,,,,,,,,0.0,,
Mežica,2025-04-05 20:10:00,14.1,4.7,14.4,,,53,54,,,,,,,,,0.0,,
Mežica,2025-04-05 20:20:00,14.0,5.6,14.1,,,57,54,,,,,,,,,0.0,,
Mežica,2025-04-05 20:30:00,13.7,5.1,13.8,,,56,56,,,,,,,,,0.0,,
Mežica,2025-04-05 20:40:00,13.5,4.7,13.5,,,55,55,,,,,,,,,0.0,,
Mežica,2025-04-05 20:50:00,13.1,5.3,13.3,,,59,57,,,,,,,,,0.0,,
