Location,Date,Temperature,Temperature dew point,Temperature average in time interval,Temperature maximum in time interval,Temperature minimum in time interval,Humidity relative,Humidity relative average in time interval,Wind direction,Wind direction average in time interval,Wind direction maximum gust in time interval,Wind speed,Wind speed average in time interval,Wind speed maximum in time interval,Air pressure,Air pressure average in time interval,Precipitation total in time interval,Solar radiation,Solar radiation average in time interval
Ptuj,2025-04-04 23:00:00,6.0,4.5,6.3,,,90,91,312,312,317,4,4,5,,,0.0,,
Ptuj,2025-04-04 23:30:00,5.7,4.4,5.8,,,91,91,285,285,277,3,3,4,,,0.0,,
Ptuj,2025-04-05 00:00:00,5.8,4.6,5.8,,,92,93,289,289,287,3,3,4,,,0.0,,
Ptuj,2025-04-05 00:30:00,5.3,4.3,5.1,,,93,92,257,257,282,3,3,6,,,0.0,,
Ptuj,2025-04-05 01:00:00,4.1,3.1,4.2,,,93,92,300,300,301,4,4,5,,,0.0,,
Ptuj,2025-04-05 01:30:00,4.2,3.5,4.1,,,95,94,274,274,269,4,4,5,,,0.0,,
Ptuj,2025-04-05 02:00:00,4.0,3.1,3.9,,,94,95,282,282,271,4,4,6,,,0.0,,
Ptuj,2025-04-05 02:30:00,3.2,2.3,3.3,,,94,94,229,229,223,2,2,3,,,0.0,,
Ptuj,2025-04-05 03:00:00,3.2,2.6,3.0,,,96,95,244,244,186,1,1,2,,,0.0,,
Ptuj,2025-04-05 03:30:00,2.9,2.2,3.1,,,95,96,197,197,201,2,2,3,,,0.0,,
Ptuj,2025-04-05 04:00:00,2.6,2.0,2.7,,,96,96,259,259,245,1,1,2,,,0.0,,
Ptuj,2025-04-05 04:30:00,1.9,1.3,1.9,,,96,96,290,290,288,5,5,7,,,0.0,,
Ptuj,2025-04-05 05:00:00,1.4,0.8,1.6,,,96,96,316,316,345,1,1,2,,,0.0,,
Ptuj,2025-04-05 05:30:00,2.6,2.2,2.5,,,97,97,242,242,244,2,2,5,,,0.0,,
Ptuj,2025-04-05 06:00:00,2.4,2.0,2.5,,,97,97,196,196,209,2,2,4,,,0.0,,
Ptuj,2025-04-05 06:30:00,1.2,0.8,1.3,,,97,96,316,316,316,4,4,4,,,0.0,,
Ptuj,2025-04-05 07:00:00,2.0,1.6,2.1,,,97,97,211,211,287,1,1,2,,,0.0,,
Ptuj,2025-04-05 07:30:00,2.6,2.2,2.6,,,97,97,306,306,314,3,3,4,,,0.0,,
Ptuj,2025-04-05 08:00:00,4.8,4.2,4.4,,,96,97,309,309,315,4,4,7,,,0.0,,
Ptuj,2025-04-05 08:30:00,7.0,5.6,6.7,,,91,91,285,285,277,3,3,5,,,0.0,,
Ptuj,2025-04-05 09:00:00,8.9,5.3,8.7,,,78,83,183,183,187,2,2,5,,,0.0,,
Ptuj,2025-04-05 09:30:00,11.3,6.4,10.8,,,72,74,269,269,298,2,2,4,,,0.0,,
Ptuj,2025-04-05 10:00:00,13.7,4.6,13.6,,,54,54,278,278,283,8,8,15,,,0.0,,
Ptuj,2025-04-05 10:30:00,14.5,5.1,14.5,,,53,53,274,274,269,7,7,12,,,0.0,,
Ptuj,2025-04-05 11:00:00,15.6,6.1,15.4,,,53,51,269,269,244,10,10,15,,,0.0,,
Ptuj,2025-04-05 11:30:00,16.7,6.2,16.4,,,50,49,272,272,276,10,10,16,,,0.0,,
Ptuj,2025-04-05 12:00:00,17.7,6.3,17.5,,,47,47,289,289,293,7,7,14,,,0.0,,
Ptuj,2025-04-05 12:30:00,18.9,3.5,18.6,,,36,37,310,310,322,11,11,22,,,0.0,,
Ptuj,2025-04-05 13:00:00,19.2,2.6,19.1,,,33,36,343,343,344,11,11,21,,,0.0,,
Ptuj,2025-04-05 13:30:00,19.6,2.9,19.6,,,33,32,8,8,15,7,7,16,,,0.0,,
Ptuj,2025-04-05 14:00:00,20.0,2.4,20.0,,,31,32,344,344,357,8,8,14,,,0.0,,
Ptuj,2025-04-05 14:30:00,20.4,3.6,20.3,,,33,30,325,325,336,7,7,18,,,0.0,,
Ptuj,2025-04-05 15:00:00,20.8,1.7,20.9,,,28,28,259,259,279,8,8,14,,,0.0,,
Ptuj,2025-04-05 15:30:00,21.1,3.3,21.0,,,31,31,287,287,327,9,9,16,,,0.0,,
Ptuj,2025-04-05 16:00:00,21.5,3.7,21.4,,,31,30,315,315,15,8,8,14,,,0.0,,
Ptuj,2025-04-05 16:30:00,21.3,3.5,21.1,,,31,32,339,339,356,13,13,23,,,0.0,,
Ptuj,2025-04-05 17:00:00,20.8,3.1,20.2,,,31,36,341,341,325,10,10,23,,,0.0,,
Ptuj,2025-04-05 17:30:00,20.8,3.5,20.6,,,32,33,342,342,326,13,13,22,,,0.0,,
Ptuj,2025-04-05 18:00:00,19.2,4.2,19.4,,,37,36,318,318,336,11,11,19,,,0.0,,
Ptuj,2025-04-05 18:30:00,18.2,5.4,18.4,,,43,42,6,6,356,6,6,13,,,0.0,,
Ptuj,2025-04-05 19:00:00,17.4,6.0,17.6,,,47,44,333,333,342,5,5,7,,,0.0,,
Ptuj,2025-04-05 19:30:00,16.8,3.8,16.9,,,42,42,17,17,23,5,5,7,,,0.0,,
Ptuj,2025-04-05 20:00:00,16.1,6.5,16.3,,,53,49,195,195,191,1,1,2,,,0.0,,
Ptuj,2025-04-05 20:30:00,15.3,5.8,15.3,,,53,53,46,46,36,21,21,40,,,0.0,,
Ptuj,2025-04-05 21:00:00,14.1,3.9,14.2,,,50,53,29,29,28,22,22,42,,,0.0,,
Ptuj,2025-04-05 21:30:00,13.3,2.8,13.4,,,49,48,22,22,26,21,21,36,,,0.0,,
Ptuj,2025-04-05 22:00:00,12.3,-0.2,12.5,,,42,43,58,58,58,17,17,32,,,0.0,,
Ptuj,2025-04-05 22:30:00,10.8,-2.9,10.9,,,38,40,51,51,59,14,14,25,,,0.0,,
Ptuj,2025-04-05 23:00:00,9.9,-3.4,9.9,,,39,39,50,50,62,16,16,26,,,0.0,,
